name,seller,price,number-of-items-sold,ram,rom,screen-size,color,front-camera,rear-camera,number_of_sims
Spark Dual SIM - 8Go HDD - 1Go RAM - Noir - 12 Mois De Garantie,Xtouch,32100.0,99.0,1.0,8.0,5.0,noir,2.0,5.0,2
iPhone 4S - 16Go HDD - Noir - 12 Mois,Apple,47900.0,10001.0,1.0,16.0,3.5,noir,0.0,8.0,1
"Hot 7 Dual Sim - 6,2"" - 16 Go HDD - 1 Go RAM - Or",Infinix,61500.0,1001.0,1.0,16.0,6.2,or,8.0,13.0,2
Rise 31 Dual SIM 8Go HDD - Bleu + 1 Carte SIM et 1 Forfait Internet Offerts,Orange,24900.0,1001.0,1.0,8.0,4.0,bleu,8.0,13.0,2
"Hot 7 Dual SIM - 6,2"" - 16 Go HDD - 1 Go RAM - Noir",Infinix,61500.0,1001.0,1.0,16.0,6.2,noir,8.0,13.0,2
Spark 2 Dual SIM  16 Go HDD + 1Go RAM - Rouge - 12 Mois,Tecno,63700.0,1001.0,2.0,16.0,6.0,rouge,8.0,13.0,2
"S503 Dual SIM - 16Go HDD - 2Go RAM - 5,5"" - Noir - 12 Mois",SIMI,45000.0,1001.0,1.0,16.0,5.0,noir,13.0,8.0,2
"Redmi Go - Dual SIM - 8Go HDD - 1Go RAM - 5"" - Noir",Xiaomi,41500.0,1001.0,1.0,8.0,5.0,noir,8.0,13.0,2
Smart 2 Dual SIM 16 Go HDD - Or - 12 Mois,Infinix,58600.0,1001.0,2.0,16.0,5.5,or,5.0,13.0,2
Spark 2 Dual SIM 16 Go HDD + 2 Go RAM - Noir - 12 Mois,Tecno,70600.0,1001.0,2.0,16.0,6.0,noir,0.3,2.0,2
"Redmi 6A Dual SIM - 16 Go HDD - 2Go RAM - 5,45"" - Or",Xiaomi,56800.0,1001.0,3.0,16.0,5.4,or,5.0,5.0,2
Camon 11 Dual SIM - 32 Go HDD - Noir - 12 Mois,Tecno,109000.0,1001.0,1.0,32.0,6.2,noir,7.0,12.0,2
Rise 53 Dual SIM 8Go HDD - Noir - 12 Mois + Forfait Internet Offert,Orange,34900.0,1001.0,1.0,8.0,5.0,noir,5.0,8.0,2
Desire 610 - 8Go HDD - 1Go RAM - Noir,HTC,31200.0,101.0,1.0,8.0,4.7,noir,0.3,0.3,1
"V5 Dual SIM - 8 Go HDD - 1 Go RAM - 5"" - Noir",X-tigi,23800.0,1001.0,3.0,8.0,4.0,noir,2.0,13.0,2
Lenovo K5 Play Dual SIM 32Go HDD 3Go RAM - 13+2MP - Noir + Pochette Offert - 12 Mois de Garantie,Lenovo,74900.0,10001.0,3.0,32.0,5.7,noir,5.0,16.0,2
Lenovo A5 Dual SIM 16Go HDD - 3Go RAM - 13MP - Noir  - 12 Mois,Lenovo,59900.0,10001.0,1.0,16.0,5.8,noir,2.0,13.0,2
OK-LX6 Dual SIM 4Go HDD - 1Go RAM - 12 Mois - Blanc Et Or,Oking,28900.0,101.0,4.0,4.0,6.0,blanc et or,7.0,12.0,2
"iPhone XS - 256 Go HDD - 4 Go RAM - 5,8'' - Or",Apple,1800000.0,101.0,4.0,256.0,5.5,or,7.0,12.0,1
K5 Note Dual SIM 64Go HDD - 4Go RAM - 16+2MP - Noir - 12 Mois de Garantie,Lenovo,109900.0,10001.0,1.0,64.0,3.0,noir,0.3,2.0,2
"OK-Smart18 - Dual SIM - 16Go HDD - 1 Go RAM - 5,5"" - Rouge - 12 Mois",Oking,36500.0,101.0,4.0,16.0,6.0,rouge,0.3,2.0,2
Lenovo S5 Dual Sim - 64Go HDD - 4Go RAM - 13+13MP - Noir + Pochette Offert - 12 Mois de Garantie,Lenovo,94900.0,10001.0,3.0,64.0,5.7,noir,7.0,12.0,2
"S301 Dual SIM 3.5"" - 4Go HDD - 512Mo RAM - Noir  - 12 Mois",SIMI,17500.0,99.0,3.0,4.0,5.0,noir,8.0,13.0,2
Galaxy J6 Plus  2018 - 32 Go HDD - 3 Go RAM - 6'' - Gris,Samsung,106200.0,101.0,2.0,32.0,5.8,gris,7.0,12.0,1
"Galaxy S4 - 16Go HDD - 2Go RAM - 5"" - Blanc",Samsung,51000.0,101.0,4.0,32.0,5.8,blanc,7.0,12.0,1
"Galaxy S6 Edge - 32Go HDD - RAM 3Go - 5,7"" - Or - 12 Mois + Pochette + Protège Ecran Offerts",Samsung,117000.0,101.0,4.0,16.0,6.4,or,17.0,12.0,1
"Galaxy S4 - 16Go HDD - 2Go RAM - 5"" - Noir",Samsung,51000.0,101.0,8.0,256.0,6.0,noir,7.0,12.0,1
iPhone XS Max 256Go HDD - Blanc,Apple,850000.0,101.0,4.0,64.0,4.0,blanc,8.0,12.0,1
iPhone XS 64Go HDD - Or,Apple,780000.0,101.0,4.0,128.0,4.0,or,5.0,12.0,1
Galaxy S10 Plus - 128Go HDD - 8Go RAM - 16+12+12MP - Noir - 24 Mois de Garantie,Samsung,679900.0,10001.0,1.0,64.0,5.8,noir,5.0,8.0,1
K5 Note Dual SIM 64Go HDD - 4Go RAM - 16+2MP - Or - 12 Mois de Garantie,Lenovo,99900.0,10001.0,3.0,8.0,5.5,or,10.0,16.0,2
Y2 Dual SIM 8Go HDD - Noir - 12 Mois,Tecno,35000.0,1001.0,2.0,64.0,5.5,noir,7.0,12.0,2
Lenovo K5 Pro Dual SIM 64Go HDD - 4Go RAM - 16+5MP - Noir - 12 Mois,Lenovo,119900.0,10001.0,3.0,8.0,5.8,noir,8.0,12.0,2
"V5 Dual SIM - 8Go HDD - 1 Go RAM - 5"" - Bleu",X-tigi,23800.0,1001.0,4.0,256.0,4.0,bleu,1.2,8.0,2
iPhone X 256Go HDD - Noir,Apple,650000.0,101.0,3.0,16.0,6.2,noir,5.0,16.0,1
Simi S503 Dual SIM - 5.5 pouces - 3G - 13MP/8MP - 16Go/2Go - Android 6.0 - Noir  - 12 Mois,SIMI,43900.0,99.0,1.0,256.0,5.8,noir,0.0,13.0,2
iPhone 8 Plus 256Go HDD - Rouge,Apple,550000.0,101.0,6.0,64.0,5.8,rouge,8.0,12.0,1
Redmi Note 7 Dual SIM 64Go HDD - 4Go RAM - 48+5MP - Noir + Pochette Offert - 12 Mois de Garantie,Xiaomi,184900.0,10001.0,3.0,256.0,6.2,noir,7.0,12.0,2
iPhone X 256Go HDD - 3Go RAM - 12MP - Argent - 12 Mois + Pochette + Protège Ecran Offerts,Apple,979900.0,10001.0,3.0,8.0,6.0,gris,8.0,13.0,1
ZTE A110 - 8 Go - 1 Go RAM - 4'' - Noir,ZTE,25000.0,1001.0,6.0,64.0,6.0,noir,5.0,16.0,1
"Camon 11 Pro - Dual SIM - 64Go HDD - 6Go RAM - 6,2"" - Noir",Tecno,164000.0,99.0,3.0,128.0,6.0,noir,8.0,13.0,2
iPhone XR - 128 Go HDD - 3 Go RAM - Rouge,Apple,520000.0,49.0,1.0,64.0,6.1,rouge,13.0,21.0,1
iPhone X 64Go HDD - 3Go RAM - 12MP - Gris,Apple,579500.0,10001.0,1.0,64.0,5.8,gris,8.0,13.0,1
"Galaxy S9 Plus - 64Go HDD - 6Go RAM - 6,2"" - Noir - 12 Mois",Samsung,396000.0,101.0,3.0,32.0,6.2,noir,0.0,8.0,1
Galaxy J6 Plus Dual SIM - 32Go HDD - 3Go RAM - 13+5MP - Rouge - 12 Mois + Pochette Et Protège Ecran Offerts,Samsung,104900.0,49.0,8.0,16.0,4.0,rouge,5.0,13.0,2
Vente Flash - Galaxy S7 Edge 32Go HDD - 4Go RAM - Or + Pochette,Samsung,159000.0,101.0,3.0,16.0,5.1,or,1.2,8.0,1
Spark 3 Dual SIM - 16Go HDD - 1Go RAM - Noir - 12 Mois,Tecno,75900.0,10001.0,6.0,32.0,6.2,noir,5.0,8.0,2
Galaxy J4 Core Dual SIM 16Go HDD - 1Go RAM - Noir,Samsung,72500.0,101.0,1.0,128.0,5.8,noir,5.0,5.0,2
