name,seller,price,number-of-items-sold,ram,rom,screen-size,color,front-camera,rear-camera,number_of_sims,date,os
Rise 31 Dual SIM 8Go HDD - Bleu + 1 Carte SIM et 1 Forfait Internet Offerts,Orange,24900.0,1001.0,1.0,8.0,4.0,bleu,13.0,21.0,2,Sun May 26 21:18:11 2019,android
"Kodak Ektra - 5"" - 32 Go HDD - 3 Go RAM - Noir",KODAK,49900.0,1001.0,3.0,32.0,5.0,noir,8.0,13.0,1,Sun May 26 21:18:13 2019,android
Spark 2 Dual SIM 16 Go HDD + 1 Go RAM - Rouge - 12 Mois,Tecno,85000.0,1001.0,1.0,16.0,6.0,rouge,8.0,13.0,2,Sun May 26 21:18:14 2019,android
Spark 2 Dual SIM  16 Go HDD - Noir - 12 Mois,Tecno,75300.0,101.0,1.0,16.0,5.0,noir,0.0,8.0,2,Sun May 26 21:18:16 2019,android
Rise 53 Dual SIM 8Go HDD - Noir - 12 Mois + Forfait Internet Offert,Orange,34900.0,1001.0,1.0,8.0,3.5,noir,13.0,8.0,2,Sun May 26 21:18:17 2019,android
iPhone 4S - 16Go HDD - Noir - 12 Mois,Apple,47900.0,10001.0,1.0,16.0,5.5,noir,5.0,13.0,1,Sun May 26 21:18:19 2019,ios
Smart 2 Dual SIM 16 Go HDD - Or - 12 Mois,Infinix,58600.0,1001.0,2.0,16.0,5.4,or,2.0,9.0,2,Sun May 26 21:18:21 2019,android
"Redmi 6A Dual SIM - 16 Go HDD - 2Go RAM - 5,45"" - Or",Xiaomi,56800.0,1001.0,1.0,16.0,4.7,or,8.0,13.0,2,Sun May 26 21:18:22 2019,android
"Desire 610 - 4,7"" - 8Go HDD - 1Go RAM - Noir",HTC,31200.0,101.0,2.0,8.0,6.0,noir,0.3,2.0,1,Sun May 26 21:18:24 2019,android
Spark 2 Dual SIM 16 Go HDD + 2 Go RAM - Noir - 12 Mois,Tecno,70600.0,1001.0,3.0,16.0,4.0,noir,5.0,5.0,2,Sun May 26 21:18:25 2019,android
